algorithm;dataset;k;qids;weighted;iterations;eliteFraction;crossoverFraction;mutationProbability;trianglePattern;dualPopulation;timeLimit;stepLimit;limitByOptimalLoss;batchNumber;time;externalUtility;internalUtility
BEST_EFFORT_GENETIC_1POP;CREDITCARD;5;0;false;2147483647;0.2;0.4;0.05;false;false;100000;2147483647;false;1;33;0.053694399;0.94651336
BEST_EFFORT_GENETIC_1POP;CREDITCARD;5;0;false;2147483647;0.2;0.4;0.05;false;false;100000;2147483647;false;1;123;0.354341024;0.653033583
BEST_EFFORT_GENETIC_1POP;CREDITCARD;5;0;false;2147483647;0.2;0.4;0.05;false;false;100000;2147483647;false;1;344;0.3571057;0.635243752
BEST_EFFORT_GENETIC_1POP;CREDITCARD;5;0;false;2147483647;0.2;0.4;0.05;false;false;100000;2147483647;false;1;3715;0.394471947;0.614489605
BEST_EFFORT_GENETIC_1POP;CREDITCARD;5;0;false;2147483647;0.2;0.4;0.05;false;false;100000;2147483647;false;1;3954;0.383499603;0.608206388
BEST_EFFORT_GENETIC_1POP;CREDITCARD;5;0;false;2147483647;0.2;0.4;0.05;false;false;100000;2147483647;false;1;4028;0.392905546;0.595041042
BEST_EFFORT_GENETIC_1POP;CREDITCARD;5;0;false;2147483647;0.2;0.4;0.05;false;false;100000;2147483647;false;1;5593;0.421140036;0.585463103
BEST_EFFORT_GENETIC_1POP;CREDITCARD;5;0;false;2147483647;0.2;0.4;0.05;false;false;100000;2147483647;false;1;5868;0.391930241;0.585356659
BEST_EFFORT_GENETIC_1POP;CREDITCARD;5;0;false;2147483647;0.2;0.4;0.05;false;false;100000;2147483647;false;1;6224;0.419643883;0.567470601
BEST_EFFORT_GENETIC_1POP;CREDITCARD;5;0;false;2147483647;0.2;0.4;0.05;false;false;100000;2147483647;false;1;7169;0.431482851;0.557302283
BEST_EFFORT_GENETIC_1POP;CREDITCARD;5;0;false;2147483647;0.2;0.4;0.05;false;false;100000;2147483647;false;1;7422;0.440679147;0.548062626
BEST_EFFORT_GENETIC_1POP;CREDITCARD;5;0;false;2147483647;0.2;0.4;0.05;false;false;100000;2147483647;false;1;8680;0.455075975;0.534708655
BEST_EFFORT_GENETIC_1POP;CREDITCARD;5;0;false;2147483647;0.2;0.4;0.05;false;false;100000;2147483647;false;1;9988;0.460522248;0.526718142
BEST_EFFORT_GENETIC_1POP;CREDITCARD;5;0;false;2147483647;0.2;0.4;0.05;false;false;100000;2147483647;false;1;10537;0.461707146;0.524495194
BEST_EFFORT_GENETIC_1POP;CREDITCARD;5;0;false;2147483647;0.2;0.4;0.05;false;false;100000;2147483647;false;1;11197;0.463578485;0.52248759
BEST_EFFORT_GENETIC_1POP;CREDITCARD;5;0;false;2147483647;0.2;0.4;0.05;false;false;100000;2147483647;false;1;11512;0.468964125;0.51724912
